Gallery,Medium,Era / Series,Index,Title (raw),Title (English),Title (Chinese),Year,Physical dimensions,Image pixels (WxH),File size (KB),Local file,Live URL
new-page-1,Oil,1980s,,oil001.jpg,oil001,,,,685x550,133,assets/oil001-0d9d54f4.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil001-0d9d54f4.jpg
new-page-1,Oil,1980s,,oil002.jpg,oil002,,,,742x550,111,assets/oil002-0aeb482c.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil002-0aeb482c.jpg
new-page-1,Oil,1980s,,oil003.jpg,oil003,,,,992x500,175,assets/oil003-380cd3c2.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil003-380cd3c2.jpg
new-page-1,Oil,1980s,,oil004.jpg,oil004,,,,835x550,157,assets/oil004-143a10d4.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil004-143a10d4.jpg
new-page-1,Oil,1980s,,oil005.jpg,oil005,,,,550x734,114,assets/oil005-067b9371.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil005-067b9371.jpg
new-page-1,Oil,1980s,,oil006.jpg,oil006,,,,550x775,142,assets/oil006-49a28656.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil006-49a28656.jpg
new-page-1,Oil,1980s,,oil007.jpg,oil007,,,,550x747,92,assets/oil007-343f1cc1.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil007-343f1cc1.jpg
new-page-1,Oil,1980s,,oil008.jpg,oil008,,,,550x791,74,assets/oil008-17f6ee1a.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil008-17f6ee1a.jpg
new-page-1,Oil,1980s,,oil009.jpg,oil009,,,,550x687,117,assets/oil009-012e7b01.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil009-012e7b01.jpg
new-page-1,Oil,1980s,,oil010.jpg,oil010,,,,768x550,133,assets/oil010-0e3423a5.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil010-0e3423a5.jpg
new-page-1,Oil,1980s,,oil011.jpg,oil011,,,,839x550,149,assets/oil011-1c129e11.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil011-1c129e11.jpg
new-page-1,Oil,1980s,,oil012.jpg,oil012,,,,625x550,97,assets/oil012-099300fd.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil012-099300fd.jpg
new-page-1,Oil,1980s,,oil013.jpg,oil013,,,,686x550,109,assets/oil013-1e0a7d0c.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil013-1e0a7d0c.jpg
new-page-1,Oil,1980s,,oil014.jpg,oil014,,,,550x585,102,assets/oil014-263ba5cf.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil014-263ba5cf.jpg
new-page-1,Oil,1980s,,oil015.jpg,oil015,,,,550x790,106,assets/oil015-293396a0.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil015-293396a0.jpg
new-page-1,Oil,1980s,,oil016.jpg,oil016,,,,550x869,149,assets/oil016-15cb803b.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil016-15cb803b.jpg
1990s,Oil,1990s,012,012 oil 山寨通道 Passage to Mountain Village (1999)-30X40inch.JPG,Passage to Mountain Village,山寨通道,1999,30X40inch,2560x1920,827,assets/14______Passage_to_Mountain_Village__1999_-30X40inch-349dea7c.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/14______Passage_to_Mountain_Village__1999_-30X40inch-349dea7c.JPG
1990s,Oil,1990s,013,013 oil 老家的记忆 Hometown Memory (1998)-40X30inch.jpg,Hometown Memory,老家的记忆,1998,40X30inch,618x464,73,assets/013_oil_______Hometown_Memory__1998_-40X30inch-0b72b709.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/013_oil_______Hometown_Memory__1998_-40X30inch-0b72b709.jpg
1990s,Oil,1990s,,oil017.jpg,oil017,,,,667x550,119,assets/oil017-1580b5c1.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil017-1580b5c1.jpg
1990s,Oil,1990s,,oil020.jpg,oil020,,,,743x550,145,assets/oil020-62d1c4b7.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil020-62d1c4b7.jpg
1990s,Oil,1990s,,oil021.jpg,oil021,,,,550x683,115,assets/oil021-288699a4.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil021-288699a4.jpg
1990s,Oil,1990s,,oil022.jpg,oil022,,,,550x702,137,assets/oil022-28fa772b.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil022-28fa772b.jpg
1990s,Oil,1990s,,oil023.jpg,oil023,,,,698x550,123,assets/oil023-0164d980.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil023-0164d980.jpg
1990s,Oil,1990s,,oil024.jpg,oil024,,,,733x550,135,assets/oil024-82410069.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil024-82410069.jpg
1990s,Oil,1990s,,oil025.jpg,oil025,,,,550x723,107,assets/oil025-28db0b89.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil025-28db0b89.jpg
1990s,Oil,1990s,,oil026.jpg,oil026,,,,550x740,126,assets/oil026-09807072.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil026-09807072.jpg
1990s,Oil,1990s,,oil027.jpg,oil027,,,,550x554,120,assets/oil027-226fa6c6.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil027-226fa6c6.jpg
1990s,Oil,1990s,,oil028.jpg,oil028,,,,550x554,125,assets/oil028-0787241b.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil028-0787241b.jpg
1990s,Oil,1990s,,oil029.jpg,oil029,,,,557x550,112,assets/oil029-3407fd95.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil029-3407fd95.jpg
1990s,Oil,1990s,,oil030.jpg,oil030,,,,550x550,99,assets/oil030-03eaf947.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil030-03eaf947.jpg
1990s,Oil,1990s,,oil031.jpg,oil031,,,,550x548,111,assets/oil031-0f6f0b49.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil031-0f6f0b49.jpg
1990s,Oil,1990s,,oil032.jpg,oil032,,,,554x550,97,assets/oil032-4478df69.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil032-4478df69.jpg
1990s,Oil,1990s,,oil033.jpg,oil033,,,,550x732,124,assets/oil033-12d28964.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil033-12d28964.jpg
1990s,Oil,1990s,,oil034.jpg,oil034,,,,550x752,98,assets/oil034-480bbc85.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil034-480bbc85.jpg
1990s,Oil,1990s,,oil035.jpg,oil035,,,,550x740,122,assets/oil035-07bfbc17.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil035-07bfbc17.jpg
1990s,Oil,1990s,,oil036.jpg,oil036,,,,550x727,114,assets/oil036-134abb7e.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil036-134abb7e.jpg
1990s,Oil,1990s,,oil037.jpg,oil037,,,,550x711,70,assets/oil037-03ac3478.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil037-03ac3478.jpg
1990s,Oil,1990s,,oil038.jpg,oil038,,,,550x740,132,assets/oil038-3423821c.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil038-3423821c.jpg
1990s,Oil,1990s,,oil039.jpg,oil039,,,,827x550,137,assets/oil039-1999eb77.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil039-1999eb77.jpg
1990s,Oil,1990s,,oil040.jpg,oil040,,,,801x550,162,assets/oil040-10286615.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil040-10286615.jpg
1990s,Oil,1990s,,oil041.jpg,oil041,,,,743x550,118,assets/oil041-04e1a532.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil041-04e1a532.jpg
1990s,Oil,1990s,,oil042.jpg,oil042,,,,748x550,115,assets/oil042-1145058a.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil042-1145058a.jpg
1990s,Oil,1990s,,oil043.jpg,oil043,,,,803x550,117,assets/oil043-0da46fe8.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil043-0da46fe8.jpg
1990s,Oil,1990s,,oil044.jpg,oil044,,,,823x550,133,assets/oil044-0b784b23.jpg,https://antoinetterocks.github.io/yuchunmingart/assets/oil044-0b784b23.jpg
2000s,Oil,2000s,001,001 oil 聚居-山寨晨 Kinship-Dwelling-Mountain Village's Morning (2002)-30X40inch.JPG,Kinship-Dwelling-Mountain Village's Morning,聚居-山寨晨,2002,30X40inch,1920x2560,890,assets/001_oil___-____Kinship-Dwelling-Mountain_Village_s_Morning__2002_-30X40inch-23846975.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/001_oil___-____Kinship-Dwelling-Mountain_Village_s_Morning__2002_-30X40inch-23846975.JPG
2000s,Oil,2000s,003,003 oil 生殖系列之一-尘封的记忆 Lineage series NO.1-Sealed Memory (2000)-48X60inch.JPG,Lineage series NO.1-Sealed Memory,生殖系列之一-尘封的记忆,2000,48X60inch,1575x1992,554,assets/12-1945c1c0.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/12-1945c1c0.JPG
2000s,Oil,2000s,4,4 oil 白夜 A Bright Night (2004)-48X48inch.JPG,A Bright Night,白夜,2004,48X48inch,1605x1614,533,assets/4_oil____A_Bright_Night__2004_-48X48inch-6acecf8c.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/4_oil____A_Bright_Night__2004_-48X48inch-6acecf8c.JPG
2000s,Oil,2000s,005,005 oil 生殖系列之三-红岩的述说 Lineage series NO.3-Red Rock Mountain's Tale (2000)-48X60inch.JPG,Lineage series NO.3-Red Rock Mountain's Tale,生殖系列之三-红岩的述说,2000,48X60inch,1692x2184,784,assets/40-36b04287.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/40-36b04287.JPG
2000s,Oil,2000s,5,5 oil 月之韵 Rhythm of Moon (2003)-48X48inch.JPG,Rhythm of Moon,月之韵,2003,48X48inch,1712x1720,751,assets/5_oil_____Rhythm_of_Moon__2003_-48X48inch-0866efd1.JPG,https://antoinetterocks.github.io/yuchunmingart/assets/5_oil_____Rhythm_of_Moon__2003_-48X48inch-0866efd1.JPG
